"PartitionKey","RowKey","Timestamp","DeviceId","SensorId","Type","Unit","Value","ReceivedAtUtc"
"hivewatch-esp32-board2","202607111836103950694-58f79919ca7c472a9257b78ef60db48a","2026-07-11T18:36:10.493493+00:00","hivewatch-esp32-board2","ds18b20-1","temperature","C","25.75","2026-07-11T18:36:10.395069+00:00"
"hivewatch-esp32-board2","202607111841112942866-d8dd12e960e548a7be51099b965cc9a7","2026-07-11T18:41:11.410820+00:00","hivewatch-esp32-board2","ds18b20-1","temperature","C","25.69","2026-07-11T18:41:11.294286+00:00"
"hivewatch-esp32-board2","202607111846119833325-5d3edf4a786d459b98f2e832c740f61b","2026-07-11T18:46:12.085367+00:00","hivewatch-esp32-board2","ds18b20-1","temperature","C","25.62","2026-07-11T18:46:11.983332+00:00"
"hivewatch-esp32-board2","202607111851129544701-d1cc03b92097457888d17ff608970399","2026-07-11T18:51:13.068236+00:00","hivewatch-esp32-board2","ds18b20-1","temperature","C","25.62","2026-07-11T18:51:12.954470+00:00"
"hivewatch-esp32-board2","202607111856139212096-fea52aee54b34c0fbf8b14b2cd9237b7","2026-07-11T18:56:14.029854+00:00","hivewatch-esp32-board2","ds18b20-1","temperature","C","25.62","2026-07-11T18:56:13.921209+00:00"
"hivewatch-esp32-board2","202607111901138543882-3e6ad4629c0b4e10a2c6997545e47d57","2026-07-11T19:01:13.955969+00:00","hivewatch-esp32-board2","ds18b20-1","temperature","C","25.56","2026-07-11T19:01:13.854388+00:00"
"hivewatch-esp32-board2","202607111906146765970-34d04b1fb9bd4d0aa0b5c9ce9d7db0cb","2026-07-11T19:06:14.784049+00:00","hivewatch-esp32-board2","ds18b20-1","temperature","C","25.56","2026-07-11T19:06:14.676597+00:00"
"hivewatch-esp32-board2","202607111911154472063-a37df13cbeed41c2afb979348fb6a463","2026-07-11T19:11:15.548478+00:00","hivewatch-esp32-board2","ds18b20-1","temperature","C","25.56","2026-07-11T19:11:15.447206+00:00"
"hivewatch-esp32-board2","202607111916161362002-d740380a23fc4ce29e7f51fa187b908d","2026-07-11T19:16:16.232209+00:00","hivewatch-esp32-board2","ds18b20-1","temperature","C","25.5","2026-07-11T19:16:16.136200+00:00"
"hivewatch-esp32-board2","202607111921169973914-3187097c2aa544839a7d72f28dbe9b37","2026-07-11T19:21:17.093376+00:00","hivewatch-esp32-board2","ds18b20-1","temperature","C","25.5","2026-07-11T19:21:16.997391+00:00"
"hivewatch-esp32-board2","202607111926165781974-13a6b2bae4e341c99b52003805059060","2026-07-11T19:26:16.696685+00:00","hivewatch-esp32-board2","ds18b20-1","temperature","C","25.44","2026-07-11T19:26:16.578197+00:00"
"hivewatch-esp32-board2","202607111931184096504-41d82a34a6174ac98df5a7c3a10d12c2","2026-07-11T19:31:18.512860+00:00","hivewatch-esp32-board2","ds18b20-1","temperature","C","25.44","2026-07-11T19:31:18.409650+00:00"
"hivewatch-esp32-board2","202607111936191369823-46105c21908649aab99df308e5516270","2026-07-11T19:36:19.244393+00:00","hivewatch-esp32-board2","ds18b20-1","temperature","C","25.5","2026-07-11T19:36:19.136982+00:00"
